Trip ID,city,Timestamp,Pickup Zone,Pickup Latitude,Pickup Longitude,Drop Zone,Drop Latitude,Drop Longitude,Distance (Km),Trip Duration (Min),Fare (INR),Payment Type,Platform,Is Shared,Driver ID,Customer ID,Date,Hour,Weekday,Month,Vehicle Type,_pickup_ts,_trip_duration_min,_revenue,_pickup_zone,_pickup_hour,_pickup_dow,_pickup_date,trip_count
1502,Chennai,2024-03-29 07:24:00,Velachery,12.9891,80.2086,Ambattur,13.1004,80.1545,13.64,20,308.18,UPI,App,0,D0361,C000322,2024-03-29,7,Friday,March,Auto,2024-03-29 07:24:00,20,308.18,Velachery,7,Friday,2024-03-29,1
2587,Chennai,2024-03-01 06:27:00,Kodambakkam,13.067,80.2164,Besant Nagar,12.9823,80.2472,10.85,34,231.93,Cash,App,0,D0611,C000688,2024-03-01,6,Friday,March,Auto,2024-03-01 06:27:00,34,231.93,Kodambakkam,6,Friday,2024-03-01,1
2654,Chennai,2024-01-17 11:03:00,Velachery,12.9881,80.2186,Sholinganallur,12.9279,80.2203,7.98,34,149.47,UPI,App,1,D0360,C007374,2024-01-17,11,Wednesday,January,Auto,2024-01-17 11:03:00,34,149.47,Velachery,11,Wednesday,2024-01-17,1
1056,Chennai,2024-01-02 20:31:00,Madhavaram,13.143,80.2265,Velachery,12.9878,80.2237,17.07,50,266.57,UPI,Call,0,D0552,C003563,2024-01-02,20,Tuesday,January,Uber Go,2024-01-02 20:31:00,50,266.57,Madhavaram,20,Tuesday,2024-01-02,1
706,Chennai,2024-01-03 12:17:00,Besant Nagar,12.9772,80.2591,Perambur,13.1048,80.2136,15.83,39,252.4,Cash,App,0,D0549,C006523,2024-01-03,12,Wednesday,January,Uber Go,2024-01-03 12:17:00,39,252.4,Besant Nagar,12,Wednesday,2024-01-03,1
107,Chennai,2024-03-26 06:09:00,Tambaram,12.9283,80.1328,Adyar,13.0119,80.25,15.69,46,263.21,Card,App,0,D0147,C001373,2024-03-26,6,Tuesday,March,Auto,2024-03-26 06:09:00,46,263.21,Tambaram,6,Tuesday,2024-03-26,1
590,Chennai,2024-02-10 05:12:00,Tambaram,12.9265,80.1239,Anna Nagar,13.0851,80.2007,18.87,45,284.1,Card,App,0,D0378,C002579,2024-02-10,5,Saturday,February,Uber Go,2024-02-10 05:12:00,45,284.1,Tambaram,5,Saturday,2024-02-10,1
2469,Chennai,2024-01-29 18:36:00,Adyar,13.0139,80.2458,Adyar,13.0192,80.256,1.33,5,45.45,Cash,App,0,D0553,C007303,2024-01-29,18,Monday,January,Uber Go,2024-01-29 18:36:00,5,45.45,Adyar,18,Monday,2024-01-29,1
2414,Chennai,2024-01-31 07:35:00,T. Nagar,13.0443,80.2356,T. Nagar,13.0401,80.2286,1.33,5,63.71,Cash,App,0,D0224,C007940,2024-01-31,7,Wednesday,January,Auto,2024-01-31 07:35:00,5,63.71,T. Nagar,7,Wednesday,2024-01-31,1
1601,Chennai,2024-03-07 02:04:00,T. Nagar,13.0358,80.2362,T. Nagar,13.0351,80.2367,0.5,5,40.0,Cash,App,0,D0799,C003611,2024-03-07,2,Thursday,March,Bike,2024-03-07 02:04:00,5,40.0,T. Nagar,2,Thursday,2024-03-07,1
2465,Chennai,2024-01-30 10:03:00,Chromepet,12.9559,80.1363,Chromepet,12.9485,80.1323,0.56,5,51.63,Card,App,0,D0391,C003761,2024-01-30,10,Tuesday,January,Auto,2024-01-30 10:03:00,5,51.63,Chromepet,10,Tuesday,2024-01-30,1
229,Chennai,2024-03-24 01:39:00,Besant Nagar,12.9686,80.263,Chromepet,12.9642,80.1394,12.97,30,246.68,Cash,App,0,D0502,C006065,2024-03-24,1,Sunday,March,Auto,2024-03-24 01:39:00,30,246.68,Besant Nagar,1,Sunday,2024-03-24,1
916,Chennai,2024-02-14 02:37:00,Velachery,12.9876,80.221,Perambur,13.1128,80.22,12.91,14,277.42,Cash,App,0,D0111,C000339,2024-02-14,2,Wednesday,February,Auto,2024-02-14 02:37:00,14,277.42,Velachery,2,Wednesday,2024-02-14,1
795,Chennai,2024-02-22 18:59:00,Mylapore,13.0262,80.2666,Adyar,13.0017,80.246,3.95,11,94.74,Cash,App,0,D0271,C003521,2024-02-22,18,Thursday,February,Auto,2024-02-22 18:59:00,11,94.74,Mylapore,18,Thursday,2024-02-22,1
3022,Chennai,2024-01-14 23:11:00,Ambattur,13.1075,80.1688,Ambattur,13.1047,80.1754,0.97,5,79.51,Card,App,0,D0591,C005390,2024-01-14,23,Sunday,January,Uber Go,2024-01-14 23:11:00,5,79.51,Ambattur,23,Sunday,2024-01-14,1
3544,Chennai,2024-02-13 16:08:00,Adyar,13.0182,80.2483,Anna Nagar,13.0865,80.2036,9.73,27,199.91,Card,App,0,D0341,C005437,2024-02-13,16,Tuesday,February,Auto,2024-02-13 16:08:00,27,199.91,Adyar,16,Tuesday,2024-02-13,1
1074,Chennai,2024-02-25 06:33:00,T. Nagar,13.0418,80.2363,Mylapore,13.028,80.2627,2.01,5,72.35,Cash,App,0,D0633,C007064,2024-02-25,6,Sunday,February,UberXL,2024-02-25 06:33:00,5,72.35,T. Nagar,6,Sunday,2024-02-25,1
