Trip id,City,Timestamp,Pickup zone, Pickup lat , Pickup lng ,Drop zone, Drop lat , Drop lng ,Distance km,Trip Duration min, Fare inr ,Payment type,Platform,Is shared,Driver ID,Customer ID,Hour,Weekday,Date,Month,Vehicle Type
1502,Chennai,29-03-2024 07:24,Velachery, 12.99 , 80.21 ,Ambattur, 13.10 , 80.15 ,13.64,20, 308.18 ,UPI,App,0,D0361,C000322,7,Friday,29-03-2024,March,Uber Go
2587,Chennai,01-03-2024 06:27,Kodambakkam, 13.07 , 80.22 ,Besant Nagar, 12.98 , 80.25 ,10.85,34, 231.93 ,Cash,App,0,D0611,C000688,6,Friday,01-03-2024,March,Uber Go
2654,Chennai,17-01-2024 11:03,Velachery, 12.99 , 80.22 ,Sholinganallur, 12.93 , 80.22 ,7.98,34, 149.47 ,UPI,App,1,D0360,C007374,11,Wednesday,17-01-2024,January,Auto
1056,Chennai,02-01-2024 20:31,Madhavaram, 13.14 , 80.23 ,Velachery, 12.99 , 80.22 ,17.07,50, 266.57 ,UPI,Call,0,D0552,C003563,20,Tuesday,02-01-2024,January,Bike
706,Chennai,03-01-2024 12:17,Besant Nagar, 12.98 , 80.26 ,Perambur, 13.10 , 80.21 ,15.83,39, 252.40 ,Cash,App,0,D0549,C006523,12,Wednesday,03-01-2024,January,Uber Go
107,Chennai,26-03-2024 06:09,Tambaram, 12.93 , 80.13 ,Adyar, 13.01 , 80.25 ,15.69,46, 263.21 ,Card,App,0,D0147,C001373,6,Tuesday,26-03-2024,March,Uber Go
590,Chennai,10-02-2024 05:12,Tambaram, 12.93 , 80.12 ,Anna Nagar, 13.09 , 80.20 ,18.87,45, 284.10 ,Card,App,0,D0378,C002579,5,Saturday,10-02-2024,February,Bike
2469,Chennai,29-01-2024 18:36,Adyar, 13.01 , 80.25 ,Adyar, 13.02 , 80.26 ,1.33,5, 45.45 ,Cash,App,0,D0553,C007303,18,Monday,29-01-2024,January,Bike
2414,Chennai,31-01-2024 07:35,T. Nagar, 13.04 , 80.24 ,T. Nagar, 13.04 , 80.23 ,1.33,5, 63.71 ,Cash,App,0,D0224,C007940,7,Wednesday,31-01-2024,January,UberXL
1601,Chennai,07-03-2024 02:04,T. Nagar, 13.04 , 80.24 ,T. Nagar, 13.04 , 80.24 ,0.5,5, 40.00 ,Cash,App,0,D0799,C003611,2,Thursday,07-03-2024,March,Uber Go
2465,Chennai,30-01-2024 10:03,Chromepet, 12.96 , 80.14 ,Chromepet, 12.95 , 80.13 ,0.56,5, 51.63 ,Card,App,0,D0391,C003761,10,Tuesday,30-01-2024,January,Uber Go
229,Chennai,24-03-2024 01:39,Besant Nagar, 12.97 , 80.26 ,Chromepet, 12.96 , 80.14 ,12.97,30, 246.68 ,Cash,App,0,D0502,C006065,1,Sunday,24-03-2024,March,Auto
916,Chennai,14-02-2024 02:37,Velachery, 12.99 , 80.22 ,Perambur, 13.11 , 80.22 ,12.91,14, 277.42 ,Cash,App,0,D0111,C000339,2,Wednesday,14-02-2024,February,Uber Go
795,Chennai,22-02-2024 18:59,Mylapore, 13.03 , 80.27 ,Adyar, 13.00 , 80.25 ,3.95,11, 94.74 ,Cash,App,0,D0271,C003521,18,Thursday,22-02-2024,February,Auto
